C Gamma Score Time
100000.0 0.03125 0.981745 -31.6
100000.0 0.03125 0.985336 -31.7
100000.0 0.03125 0.982500 -31.7
100000.0 0.03125 0.985090 -31.8
100000.0 0.03125 0.984328 -32.2
100000.0 0.0625 0.979753 -75.6
100000.0 0.0625 0.978250 -76.0
100000.0 0.0625 0.980841 -76.3
100000.0 0.0625 0.976494 -74.4
100000.0 0.0625 0.980077 -75.2
100000.0 0.125 0.892795 -188.8
100000.0 0.125 0.879853 -188.8
100000.0 0.125 0.888000 -189.3
1000000.0 0.03125 0.985090 -30.3
100000.0 0.125 0.883721 -188.2
100000.0 0.125 0.900717 -189.0
1000000.0 0.03125 0.985336 -30.2
100000.0 0.25 0.641233 -213.9
1000000.0 0.03125 0.982500 -30.3
1000000.0 0.03125 0.981745 -30.2
1000000.0 0.03125 0.984328 -30.7
100000.0 0.25 0.576487 -213.9
100000.0 0.25 0.619333 -214.5
1000000.0 0.0625 0.980841 -74.7
1000000.0 0.0625 0.979753 -74.0
1000000.0 0.0625 0.978250 -74.3
1000000.0 0.0625 0.976494 -74.2
1000000.0 0.0625 0.980077 -75.3
100000.0 0.25 0.614788 -212.6
100000.0 0.25 0.598150 -212.8
1000000.0 0.125 0.892795 -187.6
1000000.0 0.125 0.879853 -186.8
1000000.0 0.125 0.888000 -187.1
1000000.0 0.125 0.883721 -186.4
1000000.0 0.125 0.900717 -187.8
10000000.0 0.03125 0.985090 -30.4
10000000.0 0.03125 0.985336 -30.2
10000000.0 0.03125 0.982500 -30.3
1000000.0 0.25 0.641233 -212.4
10000000.0 0.03125 0.981745 -30.0
10000000.0 0.03125 0.984328 -31.0
1000000.0 0.25 0.619333 -212.8
1000000.0 0.25 0.576487 -213.0
10000000.0 0.0625 0.980841 -75.0
10000000.0 0.0625 0.979753 -74.2
10000000.0 0.0625 0.978250 -74.4
10000000.0 0.0625 0.976494 -74.5
10000000.0 0.0625 0.980077 -75.4
1000000.0 0.25 0.598150 -212.6
1000000.0 0.25 0.614788 -213.1
10000000.0 0.125 0.892795 -188.0
10000000.0 0.125 0.879853 -187.2
10000000.0 0.125 0.888000 -187.5
10000000.0 0.125 0.883721 -186.9
10000000.0 0.125 0.900717 -187.9
100000000.0 0.03125 0.985090 -30.4
100000000.0 0.03125 0.985336 -30.6
100000000.0 0.03125 0.982500 -30.5
100000000.0 0.03125 0.981745 -30.1
10000000.0 0.25 0.641233 -212.5
10000000.0 0.25 0.576487 -212.9
100000000.0 0.03125 0.984328 -30.9
10000000.0 0.25 0.619333 -213.3
100000000.0 0.0625 0.980841 -75.0
100000000.0 0.0625 0.979753 -74.5 
100000000.0 0.0625 0.978250 -74.3
100000000.0 0.0625 0.976494 -74.4
100000000.0 0.0625 0.980077 -75.5
10000000.0 0.25 0.598150 -212.6
10000000.0 0.25 0.614788 -213.0
100000000.0 0.125 0.892795 -185.9
100000000.0 0.125 0.879853 -186.5
100000000.0 0.125 0.888000 -186.4 
100000000.0 0.125 0.883721 -186.0
100000000.0 0.125 0.900717 -185.8
1000000000.0 0.03125 0.985090 -30.2
100000000.0 0.25 0.641233 -210.5
1000000000.0 0.03125 0.985336 -30.1
1000000000.0 0.03125 0.982500 -30.0
1000000000.0 0.03125 0.981745 -29.8
1000000000.0 0.03125 0.984328 -30.5
100000000.0 0.25 0.576487 -211.1
100000000.0 0.25 0.619333 -211.3
1000000000.0 0.0625 0.979753 -73.7
1000000000.0 0.0625 0.980841 -74.0
1000000000.0 0.0625 0.978250 -73.7
1000000000.0 0.0625 0.976494 -73.9
1000000000.0 0.0625 0.980077 -74.5
100000000.0 0.25 0.598150 -210.8
100000000.0 0.25 0.614788 -211.7
1000000000.0 0.125 0.892795 -189.9
1000000000.0 0.125 0.879853 -189.2
1000000000.0 0.125 0.888000 -189.4
1000000000.0 0.125 0.883721 -185.6
1000000000.0 0.125 0.900717 -187.7
1000000000.0 0.25 0.641233 -203.9
1000000000.0 0.25 0.576487 -185.8
1000000000.0 0.25 0.619333 -182.0
1000000000.0 0.25 0.598150 -132.0
1000000000.0 0.25 0.614788 -130.0
